iter	Passed	Remaining
723	1112	424
724	1113	422
725	1115	420
726	1116	419
727	1117	417
728	1118	415
729	1119	414
730	1120	412
731	1121	410
732	1122	408
733	1123	407
734	1124	405
735	1125	403
736	1127	402
737	1128	400
738	1129	399
739	1132	397
740	1133	396
741	1134	394
742	1135	392
743	1137	391
744	1138	389
745	1139	387
746	1140	386
747	1141	384
748	1143	383
749	1145	381
750	1147	380
751	1148	378
752	1149	377
753	1150	375
754	1152	373
755	1153	372
756	1154	370
757	1155	368
758	1156	367
759	1158	365
760	1159	364
761	1161	362
762	1162	361
763	1163	359
764	1164	357
765	1166	356
766	1167	354
767	1168	352
768	1169	351
769	1170	349
770	1171	348
771	1173	346
772	1174	344
773	1175	343
774	1176	341
775	1178	340
776	1179	338
777	1180	336
778	1181	335
779	1183	333
780	1184	332
781	1185	330
782	1186	328
783	1187	327
784	1191	326
785	1192	324
786	1193	323
787	1195	321
788	1196	319
789	1197	318
790	1198	316
791	1199	315
792	1200	313
793	1202	311
794	1203	310
795	1205	308
796	1206	307
797	1208	305
798	1209	304
799	1210	302
800	1211	300
801	1212	299
802	1213	297
803	1214	296
804	1216	294
805	1217	292
806	1218	291
807	1219	289
808	1221	288
809	1223	286
810	1224	285
811	1226	283
812	1227	282
813	1228	280
814	1229	279
815	1231	277
816	1232	275
817	1233	274
818	1236	273
819	1237	271
820	1238	270
821	1240	268
822	1241	266
823	1242	265
824	1243	263
825	1245	262
826	1246	260
827	1247	259
828	1248	257
829	1251	256
830	1252	254
831	1254	253
832	1255	251
833	1256	250
834	1257	248
835	1259	246
836	1260	245
837	1261	243
838	1262	242
839	1263	240
840	1266	239
841	1267	237
842	1269	236
843	1270	234
844	1271	233
845	1272	231
846	1273	230
847	1274	228
848	1275	226
849	1277	225
850	1278	223
851	1279	222
852	1280	220
853	1281	219
854	1282	217
855	1284	216
856	1285	214
857	1286	212
858	1287	211
859	1288	209
860	1289	208
861	1290	206
862	1291	205
863	1292	203
864	1293	201
865	1296	200
866	1297	199
867	1298	197
868	1300	196
869	1301	194
870	1302	192
871	1303	191
872	1304	189
873	1305	188
874	1306	186
875	1307	185
876	1309	183
877	1311	182
878	1312	180
879	1314	179
880	1315	177
881	1316	176
882	1317	174
883	1318	173
884	1319	171
885	1320	169
886	1321	168
887	1322	166
888	1324	165
889	1325	163
890	1326	162
891	1327	160
892	1329	159
893	1330	157
894	1331	156
895	1332	154
896	1333	153
897	1335	151
898	1336	150
899	1337	148
900	1338	147
901	1339	145
902	1341	144
903	1342	142
904	1344	141
905	1345	139
906	1346	138
907	1347	136
908	1348	134
909	1349	133
910	1350	131
911	1351	130
912	1353	129
913	1355	127
914	1358	126
915	1359	124
916	1361	123
917	1362	121
918	1364	120
919	1365	118
920	1366	117
921	1367	115
922	1368	114
923	1374	113
924	1375	111
925	1376	110
926	1378	108
927	1379	107
928	1380	105
929	1381	103
930	1382	102
931	1383	100
932	1384	99
933	1386	97
934	1387	96
935	1388	94
936	1389	93
937	1390	91
938	1391	90
939	1392	88
940	1393	87
941	1394	85
942	1396	84
943	1397	82
944	1398	81
945	1399	79
946	1400	78
947	1401	76
948	1403	75
949	1404	73
950	1405	72
951	1406	70
952	1407	69
953	1408	67
954	1409	66
955	1410	64
956	1411	63
957	1413	61
958	1414	60
959	1415	58
960	1416	57
961	1418	56
962	1419	54
963	1420	53
964	1421	51
965	1423	50
966	1424	48
967	1425	47
968	1426	45
969	1427	44
970	1428	42
971	1430	41
972	1435	39
973	1436	38
974	1437	36
975	1438	35
976	1439	33
977	1441	32
978	1442	30
979	1443	29
980	1444	27
981	1447	26
982	1448	25
983	1449	23
984	1450	22
985	1451	20
986	1453	19
987	1454	17
988	1455	16
989	1456	14
990	1457	13
991	1459	11
992	1460	10
993	1461	8
994	1462	7
995	1463	5
996	1464	4
997	1466	2
998	1467	1
999	1468	0
